Num_Acc,date,mois,jour,heure,departement,commune,lat,lon,en agglomeration,type intersection,type collision,luminosite,conditions atmosperiques,type route,circulation,nb voies,profil long route,trace plan route,largeur TPC,largeur route,etat surface,amenagement,situation,categorie usager,gravite accident,sexe,age,motif deplacement,existence securite,usage securite,obstacle fixe heurte,obstacle mobile heurte,localisation choc,manoeuvre avant accident,identifiant vehicule,type autres vehicules,manoeuvre autres vehicules,nombre autres vehicules
202100000001,2021-30-11,11,30,07,30,30319,44.038958,4.348022,True,Hors intersection,Deux véhicules - frontale,Crépuscule ou aube,Normale,Route Départementale ,Bidirectionnelle,2,Plat,Partie rectiligne,, -1,Normale,Aucun,Sur chaussée,Conducteur,Blessé hospitalisé ,Masculin,-21.0,Domicile – travail,Aucun équipement,Non,Sans objet,Véhicule,Avant,Sans changement de direction,201 764,Bicyclette,Indéterminé,1.0
202100000006,2021-23-11,11,23,11,68,68004,47.614239,7.234336,False,Intersection en T,Deux véhicules – par l’arrière,Plein jour,Normale,Voie Communales,Bidirectionnelle,2,Plat,Partie rectiligne,,4,Normale,Aucun,Sur chaussée,Conducteur,Blessé léger,Masculin,-12.0,Domicile – école,Aucun équipement,Non,Sans objet,Aucun,Arrière droit,Sans changement de direction,201 752,Bicyclette,Indéterminé,1.0
202100000038,2021-2-9,9,2,11,71,71540,46.766889,4.456624,False,Hors intersection,Deux véhicules – par l’arrière,Plein jour,Normale,Voie Communales,Bidirectionnelle,2,Plat,Partie rectiligne,, -1,Normale,Aucun,Sur chaussée,Conducteur,Blessé hospitalisé ,Masculin,-20.0,Promenade – loisirs,Non renseigné,Non renseigné,Sans objet,Véhicule,Avant,Sans changement de direction,201 693,Bicyclette,Indéterminé,1.0
202100000051,2021-9-11,11,9,23,31,31555,43.60749,1.42812,False,Autre intersection,Deux véhicules – par le coté,Nuit avec éclairage public allumé,Normale,Voie Communales,Bidirectionnelle,2,Plat,Partie rectiligne,, -1,Normale,Pont - autopont,Sur chaussée,Conducteur,Blessé léger,Féminin,-40.0,Promenade – loisirs,Non déterminable,Oui,Sans objet,Véhicule,Côté gauche,Sans changement de direction,201 658,Bicyclette,Indéterminé,1.0
202100000070,2021-4-11,11,4,17,60,60057,49.4262285502,2.0853413343,False,Hors intersection,Deux véhicules – par le coté,Plein jour,Normale,Voie Communales,Bidirectionnelle,2,Plat,Partie rectiligne,,"5,5",Normale,Aucun,Sur chaussée,Conducteur,Blessé léger,Masculin,-16.0,Non renseigné,Aucun équipement,Non,Sans objet,Véhicule,Aucun,Inconnue,201 625,Bicyclette,Indéterminé,1.0
202100000071,2021-14-10,10,14,17,60,60057,49.41862,2.08343,False,Hors intersection,Deux véhicules - frontale,Plein jour,Normale,Voie Communales,A sens unique,0,Plat,Partie rectiligne,, -1,Normale,Aucun,Sur chaussée,Conducteur,Blessé hospitalisé ,Masculin,-14.0,Non renseigné,Aucun équipement,Non,Sans objet,Aucun,Aucun,Inconnue,201 623,Bicyclette,Indéterminé,1.0
202100000101,2021-21-10,10,21,16,90,90071,47.60102,7.006327,True,Hors intersection,Autre collision,Plein jour,Temps éblouissant ,Voie Communales,Non renseigné,1,Plat,Partie rectiligne,, -1,Autre,Zone piétonne,Sur piste cyclable,Conducteur,Tué,Masculin,-83.0,Promenade – loisirs,Casque,Oui,Autre obstacle fixe sur chaussée,Aucun,Avant,Sans changement de direction,201 570,Bicyclette,Indéterminé,1.0
202100000101,2021-21-10,10,21,16,90,90071,47.60102,7.006327,True,Hors intersection,Autre collision,Plein jour,Temps éblouissant ,Voie Communales,Non renseigné,1,Plat,Partie rectiligne,, -1,Autre,Zone piétonne,Sur piste cyclable,Conducteur,Tué,Masculin,-83.0,Promenade – loisirs,Casque,Oui,Autre obstacle fixe sur chaussée,Aucun,Avant,Sans changement de direction,201 570,Bicyclette,Indéterminé,1.0
202100000107,2021-1-11,11,1,16,84,84080,44.0350580851,5.0246668082,False,Intersection en Y,Deux véhicules - frontale,Crépuscule ou aube,Normale,Voie Communales,Bidirectionnelle,-1,Plat,En courbe à gauche ,, -1,Normale,Aucun,Sur chaussée,Conducteur,Tué,Masculin,-56.0,Non renseigné,Casque,Oui,Sans objet,Véhicule,Avant,Sans changement de direction,201 560,Bicyclette,Indéterminé,1.0
202100000108,2021-6-11,11,6,22,987,98736,-17.53978,-149.54502,False,Intersection en T,Autre collision,Nuit avec éclairage public allumé,Normale,Voie Communales,Bidirectionnelle,2,Pente,En courbe à gauche ,, -1,Normale,Pont - autopont,Sur chaussée,Conducteur,Tué,Féminin,-14.0,Promenade – loisirs,Non déterminable,Oui,Bordure de trottoir,Aucun,Avant,Déporté A droite,201 558,Bicyclette,Indéterminé,0.0
